Disease	Disease1	ICD-11_Code	Category
Unintentional land transport traffic event injuring a user of a special vehicle mainly used in agriculture / Person on outside of vehicle or in load space injured in transport related event	Unintentional land transport traffic event injuring a user of a special vehicle mainly used in agriculture / Person on outside of vehicle or in load space injured in transport related event	PA0A&XE166	0
Unintentional land transport traffic event injuring a user of a special vehicle mainly used in agriculture / Person boarding or alighting a vehicle injured in transport related event	Unintentional land transport traffic event injuring a user of a special vehicle mainly used in agriculture / Person boarding or alighting a vehicle injured in transport related event	PA0A&XE9Y1	0
Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture / Vehicle driver injured in transport related event	Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture / Vehicle driver injured in transport related event	PA1A&XE42A	0
Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture / Vehicle passenger injured in transport related event	Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture / Vehicle passenger injured in transport related event	PA1A&XE1LZ	0
Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture / Person on outside of vehicle or in load space injured in transport related event	Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture / Person on outside of vehicle or in load space injured in transport related event	PA1A&XE166	0
Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture	Unintentional land transport nontraffic event injuring a user of a special vehicle mainly used in agriculture	PA1A	0
Unintentional land transport traffic event injuring a user of a special construction vehicle	Unintentional land transport traffic event injuring a user of a special construction vehicle	PA0C	0
Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event / Vehicle driver injured in transport related event	Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event / Vehicle driver injured in transport related event	PA0C&XE9EE&XE42A	0
Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event / Vehicle passenger injured in transport related event	Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event / Vehicle passenger injured in transport related event	PA0C&XE9EE&XE1LZ	0
Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event / Person on outside of vehicle or in load space injured in transport related event	Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event / Person on outside of vehicle or in load space injured in transport related event	PA0C&XE9EE&XE166	0
Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event	Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event	PA0C&XE9EE	0
Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event / Person boarding or alighting a vehicle injured in transport related event	Unintentional land transport traffic event injuring a user of a special construction vehicle / Exposure to land transport on-road injury event / Person boarding or alighting a vehicle injured in transport related event	PA0C&XE9EE&XE9Y1	0
Unintentional land transport nontraffic event injuring a user of a special construction vehicle / Vehicle driver injured in transport related event	Unintentional land transport nontraffic event injuring a user of a special construction vehicle / Vehicle driver injured in transport related event	PA1C&XE42A	0
Unintentional land transport nontraffic event injuring a user of a special construction vehicle / Vehicle passenger injured in transport related event	Unintentional land transport nontraffic event injuring a user of a special construction vehicle / Vehicle passenger injured in transport related event	PA1C&XE1LZ	0
Unintentional land transport nontraffic event injuring a user of a special construction vehicle / Person on outside of vehicle or in load space injured in transport related event	Unintentional land transport nontraffic event injuring a user of a special construction vehicle / Person on outside of vehicle or in load space injured in transport related event	PA1C&XE166	0
Unintentional land transport nontraffic event injuring a user of a special construction vehicle	Unintentional land transport nontraffic event injuring a user of a special construction vehicle	PA1C	0
Unintentional land transport traffic event injuring a user of an all-terrain vehicle	Unintentional land transport traffic event injuring a user of an all-terrain vehicle	PA0D	0
Unintentional land transport traffic event injuring a user of an all-terrain vehicle / Exposure to land transport on-road injury event / Vehicle driver injured in transport related event	Unintentional land transport traffic event injuring a user of an all-terrain vehicle / Exposure to land transport on-road injury event / Vehicle driver injured in transport related event	PA0D&XE9EE&XE42A	0
Unintentional land transport traffic event injuring a user of an all-terrain vehicle / Exposure to land transport on-road injury event / Vehicle passenger injured in transport related event	Unintentional land transport traffic event injuring a user of an all-terrain vehicle / Exposure to land transport on-road injury event / Vehicle passenger injured in transport related event	PA0D&XE9EE&XE1LZ	0
Unintentional land transport traffic event injuring a user of an all-terrain vehicle / Exposure to land transport on-road injury event / Person on outside of vehicle or in load space injured in transport related event	Unintentional land transport traffic event injuring a user of an all-terrain vehicle / Exposure to land transport on-road injury event / Person on outside of vehicle or in load space injured in transport related event	PA0D&XE9EE&XE166	0
Unintentional land transport traffic event injuring a user of an all-terrain vehicle / Exposure to land transport on-road injury event / Person boarding or alighting a vehicle injured in transport related event	Unintentional land transport traffic event injuring a user of an all-terrain vehicle / Exposure to land transport on-road injury event / Person boarding or alighting a vehicle injured in transport related event	PA0D&XE9EE&XE9Y1	0
Unintentional land transport nontraffic event injuring a user of an all-terrain vehicle / Vehicle driver injured in transport related event	Unintentional land transport nontraffic event injuring a user of an all-terrain vehicle / Vehicle driver injured in transport related event	PA1D&XE42A	0
Unintentional land transport nontraffic event injuring a user of an all-terrain vehicle / Vehicle passenger injured in transport related event	Unintentional land transport nontraffic event injuring a user of an all-terrain vehicle / Vehicle passenger injured in transport related event	PA1D&XE1LZ	0
Unintentional land transport nontraffic event injuring a user of an all-terrain vehicle / Person on outside of vehicle or in load space injured in transport related event	Unintentional land transport nontraffic event injuring a user of an all-terrain vehicle / Person on outside of vehicle or in load space injured in transport related event	PA1D&XE166	0
Unintentional land transport traffic event injuring a user of unspecified land transport	Unintentional land transport traffic event injuring a user of unspecified land transport	PA0Z	0
Unintentional land transport traffic event injuring a user of unspecified land transport / Exposure to person, animal or plant	Unintentional land transport traffic event injuring a user of unspecified land transport / Exposure to person, animal or plant	PA0Z&XE4U1	0
Unintentional land transport nontraffic event injuring a user of unknown or unspecified land transport	Unintentional land transport nontraffic event injuring a user of unknown or unspecified land transport	PA1Z	0
Unintentional water transport injury event with damage to water vessel unspecified	Unintentional water transport injury event with damage to water vessel unspecified	PA4Z	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning	PA41.0	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Merchant ship as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Merchant ship as mode of transport of person injured in transport related event	PA41.0&XE85L&XE3QY	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Passenger ship as mode of transport of person injured in transport related event / Vehicle passenger injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Passenger ship as mode of transport of person injured in transport related event / Vehicle passenger injured in transport related event	PA41.0&XE85L&XE9YQ&XE1LZ	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Fishing boat or trawler as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Fishing boat or trawler as mode of transport of person injured in transport related event	PA41.0&XE85L&XE9PA	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	PA41.0&XE85L&XE5WL	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Sailboat or unpowered yacht as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Sailboat or unpowered yacht as mode of transport of person injured in transport related event	PA41.0&XE85L&XE0L4	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Canoe, kayak, row boat, pirogue, piragua	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Canoe, kayak, row boat, pirogue, piragua	PA41.0&XE85L&XE8BZ	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event	PA41.0&XE85L	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing submersion or drowning / Exposure to water transport injury event / Watercraft as mode of transport of person injured in transport related event	PA41.0&XE85L&XE27K	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury	PA41.Z	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Merchant ship as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Merchant ship as mode of transport of person injured in transport related event	PA41.Z&XE85L&XE3QY	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Passenger ship as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Passenger ship as mode of transport of person injured in transport related event	PA41.Z&XE85L&XE9YQ	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Fishing boat or trawler as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Fishing boat or trawler as mode of transport of person injured in transport related event	PA41.Z&XE85L&XE9PA	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	PA41.Z&XE85L&XE5WL	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Sailboat or unpowered yacht as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Sailboat or unpowered yacht as mode of transport of person injured in transport related event	PA41.Z&XE85L&XE0L4	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Canoe, kayak, row boat, pirogue, piragua	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Canoe, kayak, row boat, pirogue, piragua	PA41.Z&XE85L&XE8BZ	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event	PA41.Z&XE85L	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Other specified unpowered watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Other specified unpowered watercraft as mode of transport of person injured in transport related event	PA41.Z&XE85L&XE36L	0
Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel damaged, disabled or destroyed, causing unspecified injury / Exposure to water transport injury event / Watercraft as mode of transport of person injured in transport related event	PA41.Z&XE85L&XE27K	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning	PA40.0	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Merchant ship as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Merchant ship as mode of transport of person injured in transport related event	PA40.0&XE3QY	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Passenger ship as mode of transport of person injured in transport related event / Vehicle passenger injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Passenger ship as mode of transport of person injured in transport related event / Vehicle passenger injured in transport related event	PA40.0&XE9YQ&XE1LZ	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Fishing boat or trawler as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Fishing boat or trawler as mode of transport of person injured in transport related event	PA40.0&XE9PA	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	PA40.0&XE5WL	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Sailboat or unpowered yacht as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Sailboat or unpowered yacht as mode of transport of person injured in transport related event	PA40.0&XE0L4	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Canoe, kayak, row boat, pirogue, piragua	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Canoe, kayak, row boat, pirogue, piragua	PA40.0&XE8BZ	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Other specified unpowered watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Other specified unpowered watercraft as mode of transport of person injured in transport related event	PA40.0&XE36L	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing submersion or drowning / Watercraft as mode of transport of person injured in transport related event	PA40.0&XE27K	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury	PA40.1	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Merchant ship as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Merchant ship as mode of transport of person injured in transport related event	PA40.1&XE85L&XE3QY	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Passenger ship as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Passenger ship as mode of transport of person injured in transport related event	PA40.1&XE85L&XE9YQ	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Fishing boat or trawler as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Fishing boat or trawler as mode of transport of person injured in transport related event	PA40.1&XE85L&XE9PA	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	PA40.1&XE85L&XE5WL	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Sailboat or unpowered yacht as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Sailboat or unpowered yacht as mode of transport of person injured in transport related event	PA40.1&XE85L&XE0L4	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Canoe, kayak, row boat, pirogue, piragua	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Canoe, kayak, row boat, pirogue, piragua	PA40.1&XE85L&XE8BZ	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event	PA40.1&XE85L	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Other specified unpowered watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Other specified unpowered watercraft as mode of transport of person injured in transport related event	PA40.1&XE85L&XE36L	0
Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with water vessel not damaged, disabled or destroyed, causing other injury / Exposure to water transport injury event / Watercraft as mode of transport of person injured in transport related event	PA40.1&XE85L&XE27K	0
Unintentional water transport injury event with damage to water vessel unspecified / Merchant ship as mode of transport of person injured in transport related event	Unintentional water transport injury event with damage to water vessel unspecified / Merchant ship as mode of transport of person injured in transport related event	PA4Z&XE3QY	0
Unintentional water transport injury event with damage to water vessel unspecified / Passenger ship as mode of transport of person injured in transport related event	Unintentional water transport injury event with damage to water vessel unspecified / Passenger ship as mode of transport of person injured in transport related event	PA4Z&XE9YQ	0
Unintentional water transport injury event with damage to water vessel unspecified / Fishing boat, trawler	Unintentional water transport injury event with damage to water vessel unspecified / Fishing boat, trawler	PA4Z&XE801	0
Unintentional water transport injury event with damage to water vessel unspecified / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	Unintentional water transport injury event with damage to water vessel unspecified / Other specified powered or motorised watercraft as mode of transport of person injured in transport related event	PA4Z&XE5WL	0
Unintentional water transport injury event with damage to water vessel unspecified / Sailboat, unpowered yacht	Unintentional water transport injury event with damage to water vessel unspecified / Sailboat, unpowered yacht	PA4Z&XE9SF	0
Unintentional water transport injury event with damage to water vessel unspecified / Canoe, kayak, row boat, pirogue, piragua	Unintentional water transport injury event with damage to water vessel unspecified / Canoe, kayak, row boat, pirogue, piragua	PA4Z&XE8BZ	0
Unintentional air or space transport injury event, unspecified	Unintentional air or space transport injury event, unspecified	PA50.Z	0
Unintentional air or space transport injury event, unspecified / Powered aircraft as mode of transport of person injured in transport related event	Unintentional air or space transport injury event, unspecified / Powered aircraft as mode of transport of person injured in transport related event	PA50.Z&XE2UU	0
Unintentional air or space transport injury event, unspecified / Helicopter as mode of transport of person injured in transport related event	Unintentional air or space transport injury event, unspecified / Helicopter as mode of transport of person injured in transport related event	PA50.Z&XE48X	0
Unintentional air or space transport injury event, unspecified / Unpowered aircraft as mode of transport of person injured in transport related event	Unintentional air or space transport injury event, unspecified / Unpowered aircraft as mode of transport of person injured in transport related event	PA50.Z&XE6SQ	0
Unintentional air or space transport injury event, unspecified / Balloons and other lighter than air devices as mode of transport of person injured in transport related event	Unintentional air or space transport injury event, unspecified / Balloons and other lighter than air devices as mode of transport of person injured in transport related event	PA50.Z&XE3J3	0
Unintentional air or space transport injury event, unspecified / Hang-glider	Unintentional air or space transport injury event, unspecified / Hang-glider	PA50.Z&XE3VU	0
Unintentional air or space transport injury event, unspecified / Glider as mode of transport of person injured in transport related event	Unintentional air or space transport injury event, unspecified / Glider as mode of transport of person injured in transport related event	PA50.Z&XE33H	0
Unintentional air or space transport injury event, unspecified / Aircraft as mode of transport of person injured in transport related event / Person boarding or alighting a vehicle injured in transport related event	Unintentional air or space transport injury event, unspecified / Aircraft as mode of transport of person injured in transport related event / Person boarding or alighting a vehicle injured in transport related event	PA50.Z&XE1JR&XE9Y1	0
Unintentional fall from unspecified height	Unintentional fall from unspecified height	PA6Z	0
Unintentional fall on the same level or from less than 1 metre / Snow, ice	Unintentional fall on the same level or from less than 1 metre / Snow, ice	PA60&XE3LV	0
Unintentional fall on the same level or from less than 1 metre / Bathtub	Unintentional fall on the same level or from less than 1 metre / Bathtub	PA60&XE78X	0
Unintentional fall on the same level or from less than 1 metre / Skateboard	Unintentional fall on the same level or from less than 1 metre / Skateboard	PA60&XE7TJ	0
Unintentional fall on the same level or from less than 1 metre	Unintentional fall on the same level or from less than 1 metre	PA60	0
Unintentional fall on the same level or from less than 1 metre / Wheelchair	Unintentional fall on the same level or from less than 1 metre / Wheelchair	PA60&XE293	0
Unintentional fall on the same level or from less than 1 metre / Bed, bedding or bedding accessories	Unintentional fall on the same level or from less than 1 metre / Bed, bedding or bedding accessories	PA60&XE8PK	0
Unintentional fall on the same level or from less than 1 metre / Chair or sofa	Unintentional fall on the same level or from less than 1 metre / Chair or sofa	PA60&XE769	0
Unintentional fall on the same level or from less than 1 metre / Furniture or furnishing	Unintentional fall on the same level or from less than 1 metre / Furniture or furnishing	PA60&XE5HA	0
Unintentional fall on the same level or from less than 1 metre / Playground equipment	Unintentional fall on the same level or from less than 1 metre / Playground equipment	PA60&XE6JS	0
Unintentional fall on the same level or from less than 1 metre / Stairs, steps	Unintentional fall on the same level or from less than 1 metre / Stairs, steps	PA60&XE3HC	0
Unintentional fall from a height of 1 metre or more / Ladder, movable step	Unintentional fall from a height of 1 metre or more / Ladder, movable step	PA61&XE9P7	0
Unintentional fall from a height of 1 metre or more / Scaffolding	Unintentional fall from a height of 1 metre or more / Scaffolding	PA61&XE7RK	0
Unintentional fall from a height of 1 metre or more / Building, building component, or related fitting	Unintentional fall from a height of 1 metre or more / Building, building component, or related fitting	PA61/	0
Unintentional fall from a height of 1 metre or more / Tree, plant	Unintentional fall from a height of 1 metre or more / Tree, plant	PA61&XE9CV	0
Unintentional fall from a height of 1 metre or more / Cliff	Unintentional fall from a height of 1 metre or more / Cliff	PA61&XE1AK	0
Unintentional injury other than drowning following fall into body of water	Unintentional injury other than drowning following fall into body of water	PA92	0
Unintentional exposure to object, unspecified	Unintentional exposure to object, unspecified	PA8Z	0
Unintentionally struck by moving object	Unintentionally struck by moving object	PA81	0
Unintentionally struck by moving object / Exposure to being struck, kicked, or bumped / Equipment mainly used in sports or recreational activity	Unintentionally struck by moving object / Exposure to being struck, kicked, or bumped / Equipment mainly used in sports or recreational activity	PA81&XE1TU/	0
Unintentionally caught, crushed, jammed or pinched between objects	Unintentionally caught, crushed, jammed or pinched between objects	PA85	0
Unintentionally cut or pierced by sharp glass	Unintentionally cut or pierced by sharp glass	PA83.1	0
Unintentionally cut or pierced by other or unspecified sharp object	Unintentionally cut or pierced by other or unspecified sharp object	PA83.2	0
Unintentionally cut or pierced by knife, sword, or dagger	Unintentionally cut or pierced by knife, sword, or dagger	PA83.0	0
Unintentionally cut or pierced by other or unspecified sharp object / Powered hand tool or equipment	Unintentionally cut or pierced by other or unspecified sharp object / Powered hand tool or equipment	PA83.2&XE5WX	0
Unintentionally struck by projectile from handgun	Unintentionally struck by projectile from handgun	PA80.0	0
Unintentionally struck by projectile from rifle, shotgun or larger firearm	Unintentionally struck by projectile from rifle, shotgun or larger firearm	PA80.1	0
Unintentional exposure to other and unspecified firearm	Unintentional exposure to other and unspecified firearm	PA80.2	0
Unintentional exposure to explosion or rupture of pressurised materials or object	Unintentional exposure to explosion or rupture of pressurised materials or object	PB55.1	0
Unintentional exposure to explosion or rupture of pressurised materials or object / Gas cylinder	Unintentional exposure to explosion or rupture of pressurised materials or object / Gas cylinder	PB55.1&XE5VQ	0
Unintentional exposure to explosion or rupture of pressurised materials or object / Pressurised hose, pipe	Unintentional exposure to explosion or rupture of pressurised materials or object / Pressurised hose, pipe	PB55.1&XE974	0
Unintentional exposure to explosion or rupture of pressurised materials or object / Fireworks	Unintentional exposure to explosion or rupture of pressurised materials or object / Fireworks	PB55.1&XE6KQ	0
Unintentional exposure to explosion, unspecified	Unintentional exposure to explosion, unspecified	PB55.Z	0
Exposure to noise	Exposure to noise	XE7Y1	0
Unintentional exposure to foreign body in orifice	Unintentional exposure to foreign body in orifice	PB50	0
Unintentionally cut or pierced by other or unspecified sharp object / Pin, needle	Unintentionally cut or pierced by other or unspecified sharp object / Pin, needle	PA83.2&XE8D1	0
Unintentional contact with person, animal or plant, type unspecified	Unintentional contact with person, animal or plant, type unspecified	PA7Z	0
Unintentionally struck, kicked, or bumped by person	Unintentionally struck, kicked, or bumped by person	PA70	0
Unintentionally stepped on or crushed by person / Exposure to being caught, crushed, jammed or pinched between objects	Unintentionally stepped on or crushed by person / Exposure to being caught, crushed, jammed or pinched between objects	PA72&XE4FE	0
Unintentionally bitten by animal / Land mammal	Unintentionally bitten by animal / Land mammal	PA75&XE813	0
Unintentionally bitten by animal	Unintentionally bitten by animal	PA75	0
Unintentionally injured by contact with plant	Unintentionally injured by contact with plant	PA79	0
Unintentional immersion, submersion or falling into water, unspecified	Unintentional immersion, submersion or falling into water, unspecified	PA9Z	0
Unintentional drowning or submersion, while in body of water / Bathtub	Unintentional drowning or submersion, while in body of water / Bathtub	PA90&XE78X	0
Unintentional drowning or submersion, following fall into body of water / Bathtub	Unintentional drowning or submersion, following fall into body of water / Bathtub	PA91&XE78X	0
Unintentional drowning or submersion, while in body of water	Unintentional drowning or submersion, while in body of water	PA90	0
Unintentional drowning or submersion, following fall into body of water	Unintentional drowning or submersion, following fall into body of water	PA91	0
Unintentional threat to breathing by unspecified means	Unintentional threat to breathing by unspecified means	PB0Z	0
Unintentional threat to breathing by strangulation / Bed, bedding or bedding accessories	Unintentional threat to breathing by strangulation / Bed, bedding or bedding accessories	PB02&XE8PK	0
Exposure to threat to breathing by inhalation or ingestion of food	Exposure to threat to breathing by inhalation or ingestion of food	XE5QH	0
Unintentional threat to breathing by inhalation or ingestion of other objects or materials	Unintentional threat to breathing by inhalation or ingestion of other objects or materials	PB07	0
Unintentional threat to breathing from low oxygen environment	Unintentional threat to breathing from low oxygen environment	PB08	0
Unintentional exposure to electric current	Unintentional exposure to electric current	PB51	0
Unintentional exposure to radiation / Exposure to ionizing radiation	Unintentional exposure to radiation / Exposure to ionizing radiation	PB53&XE5PJ	0
Unintentional exposure to radiation	Unintentional exposure to radiation	PB53	0
Unintentional exposure to excessive heat	Unintentional exposure to excessive heat	PB15	0
Unintentional exposure to excessive cold	Unintentional exposure to excessive cold	PB16	0
Unintentional exposure to high or low air pressure or changes in air pressure	Unintentional exposure to high or low air pressure or changes in air pressure	PB54	0
Unintentional exposure to unspecified thermal mechanism	Unintentional exposure to unspecified thermal mechanism	PB1Z	0
Unintentional exposure to uncontrolled fire / Uncontrolled fire, flame in building or structure	Unintentional exposure to uncontrolled fire / Uncontrolled fire, flame in building or structure	PB10&XE87S	0
Unintentional exposure to uncontrolled fire / Uncontrolled fire, flame not in building or structure	Unintentional exposure to uncontrolled fire / Uncontrolled fire, flame not in building or structure	PB10&XE7V9	0
Unintentional exposure to controlled fire / Controlled fire, flame in building or structure	Unintentional exposure to controlled fire / Controlled fire, flame in building or structure	PB11&XE27S	0
Unintentional exposure to controlled fire / Controlled fire, flame, not in building or structure	Unintentional exposure to controlled fire / Controlled fire, flame, not in building or structure	PB11&XE7W8	0
Unintentional exposure to ignition, or melting of material	Unintentional exposure to ignition, or melting of material	PB12	0
